DayofWeek,product_id,product_name,category,customer_id,sale_amount_sum,sale_amount_mean,sales_id_count,sale_ids
Monday,2003,Electronics-Training,Clothing,604,765.89,765.89,1,[2009]
Monday,2041,Home-Assume,Office,606,876.34,876.34,1,[2011]
Monday,2048,Electronics-Candidate,Home,611,1588.99,1588.99,1,[2016]
Monday,2061,Home-Quite,Clothing,610,999.99,999.99,1,[2015]
Monday,2075,Electronics-Letter,Electronics,602,987.45,987.45,1,[2007]
Saturday,2003,Electronics-Training,Clothing,603,543.21,543.21,1,[2008]
Saturday,2062,Office-Receive,Clothing,609,0.0,0.0,1,[2014]
Sunday,2000,Electronics-Be,Electronics,1004,2907.93,2907.93,1,[492]
Sunday,2000,Electronics-Be,Electronics,1010,3877.24,3877.24,1,[999]
Sunday,2000,Electronics-Be,Electronics,1039,775.45,775.45,1,[1640]
Sunday,2000,Electronics-Be,Electronics,1048,4846.55,4846.55,1,[1067]
Sunday,2000,Electronics-Be,Electronics,1049,3877.24,3877.24,1,[1371]
Sunday,2000,Electronics-Be,Electronics,1127,969.31,969.31,1,[935]
Sunday,2000,Electronics-Be,Electronics,1133,872.38,872.38,1,[1068]
Sunday,2000,Electronics-Be,Electronics,1139,1744.76,1744.76,1,[1351]
Sunday,2000,Electronics-Be,Electronics,1147,4846.55,4846.55,1,[1521]
Sunday,2000,Electronics-Be,Electronics,1149,4846.55,4846.55,1,[1862]
Sunday,2000,Electronics-Be,Electronics,1157,1938.62,1938.62,1,[269]
Sunday,2000,Electronics-Be,Electronics,1167,969.31,969.31,1,[1089]
Sunday,2000,Electronics-Be,Electronics,1173,872.38,872.38,1,[863]
Sunday,2000,Electronics-Be,Electronics,1196,0.0,0.0,1,[1377]
Sunday,2001,Electronics-Be,Clothing,1000,1649.4,1649.4,1,[887]
Sunday,2001,Electronics-Be,Clothing,1002,824.7,824.7,1,[631]
Sunday,2001,Electronics-Be,Clothing,1038,0.0,0.0,1,[1186]
Sunday,2001,Electronics-Be,Clothing,1065,371.12,371.12,1,[1476]
Sunday,2001,Electronics-Be,Clothing,1070,0.0,0.0,1,[125]
Sunday,2001,Electronics-Be,Clothing,1085,412.35,412.35,1,[1915]
Sunday,2001,Electronics-Be,Clothing,1088,1113.34,1113.34,1,[1960]
Sunday,2001,Electronics-Be,Clothing,1099,0.0,0.0,1,[1805]
Sunday,2001,Electronics-Be,Clothing,1108,412.35,412.35,1,[947]
Sunday,2001,Electronics-Be,Clothing,1121,0.0,0.0,1,[1134]
Sunday,2001,Electronics-Be,Clothing,1132,2061.75,2061.75,1,[1092]
Sunday,2001,Electronics-Be,Clothing,1135,989.64,989.64,1,[649]
Sunday,2001,Electronics-Be,Clothing,1140,1237.05,1237.05,1,[1497]
Sunday,2001,Electronics-Be,Clothing,1142,1237.05,1237.05,1,[26]
Sunday,2001,Electronics-Be,Clothing,1170,659.76,659.76,1,[118]
Sunday,2001,Electronics-Be,Clothing,1176,371.12,371.12,1,[1123]
Sunday,2001,Electronics-Be,Clothing,1186,824.7,824.7,1,[1185]
Sunday,2002,Office-Family,Clothing,1005,3464.0,3464.0,1,[1822]
Sunday,2002,Office-Family,Clothing,1027,866.0,866.0,1,[1294]
Sunday,2002,Office-Family,Clothing,1033,1385.6,1385.6,1,[1688]
Sunday,2002,Office-Family,Clothing,1068,0.0,0.0,1,[1756]
Sunday,2002,Office-Family,Clothing,1082,1732.0,1732.0,1,[1182]
Sunday,2002,Office-Family,Clothing,1103,779.4,779.4,1,[870]
Sunday,2002,Office-Family,Clothing,1120,1558.8,1558.8,1,[1913]
Sunday,2002,Office-Family,Clothing,1121,2771.2,2771.2,1,[372]
Sunday,2002,Office-Family,Clothing,1136,1732.0,1732.0,1,[1183]
Sunday,2002,Office-Family,Clothing,1167,866.0,866.0,1,[1541]
Sunday,2002,Office-Family,Clothing,1185,692.8,692.8,1,[435]
Sunday,2003,Electronics-Training,Clothing,1008,0.0,0.0,1,[1501]
Sunday,2003,Electronics-Training,Clothing,1031,0.0,0.0,1,[1638]
Sunday,2003,Electronics-Training,Clothing,1039,1155.54,1155.54,1,[1866]
Sunday,2003,Electronics-Training,Clothing,1040,385.18,385.18,1,[1572]
Sunday,2003,Electronics-Training,Clothing,1044,1155.54,1155.54,1,[708]
Sunday,2003,Electronics-Training,Clothing,1047,346.66,346.66,1,[1317]
Sunday,2003,Electronics-Training,Clothing,1057,2079.97,2079.97,1,[1665]
Sunday,2003,Electronics-Training,Clothing,1072,0.0,0.0,1,[1446]
Sunday,2003,Electronics-Training,Clothing,1084,0.0,0.0,1,[1864]
Sunday,2003,Electronics-Training,Clothing,1086,924.43,924.43,1,[23]
Sunday,2003,Electronics-Training,Clothing,1088,385.18,385.18,1,[559]
Sunday,2003,Electronics-Training,Clothing,1120,1039.99,1039.99,1,[141]
Sunday,2003,Electronics-Training,Clothing,1124,1386.65,1386.65,1,[1993]
Sunday,2003,Electronics-Training,Clothing,1150,1155.54,1155.54,1,[1101]
Sunday,2003,Electronics-Training,Clothing,1151,693.32,693.32,1,[735]
Sunday,2003,Electronics-Training,Clothing,1156,1925.9,1925.9,1,[904]
Sunday,2003,Electronics-Training,Clothing,1174,308.14,308.14,1,[818]
Sunday,2003,Electronics-Training,Clothing,1177,346.66,346.66,1,[1813]
Sunday,2003,Electronics-Training,Clothing,1184,1848.86,1848.86,1,[837]
Sunday,2003,Electronics-Training,Clothing,1193,346.66,346.66,1,[7]
